거래일자,거래시간,지역,연료원,전력거래량(MWh)
2024-01-02,20,대구시,태양광,0.78246
2024-01-02,21,대구시,태양광,0.47904
2024-01-02,22,대구시,태양광,0.00864
2024-01-02,23,대구시,태양광,0
2024-01-02,24,대구시,태양광,0
2024-01-02,1,대전시,태양광,0
2024-01-02,2,대전시,태양광,0
2024-01-02,3,대전시,태양광,0
2024-01-02,4,대전시,태양광,0
2024-01-02,5,대전시,태양광,0
2024-01-02,6,대전시,태양광,0
2024-01-02,7,대전시,태양광,0
2024-01-02,8,대전시,태양광,0
2024-01-02,9,대전시,태양광,0.043497
2024-01-02,10,대전시,태양광,0.374526
2024-01-02,11,대전시,태양광,1.251468
2024-01-02,12,대전시,태양광,1.942111
2024-01-02,13,대전시,태양광,1.630567
2024-01-02,14,대전시,태양광,1.86564
2024-01-02,15,대전시,태양광,1.321334
2024-01-02,16,대전시,태양광,0.700723
2024-01-02,17,대전시,태양광,0.249531
2024-01-02,18,대전시,태양광,0.008816
2024-01-02,19,대전시,태양광,0
2024-01-02,20,대전시,태양광,0
2024-01-02,21,대전시,태양광,0
2024-01-02,22,대전시,태양광,0
2024-01-02,23,대전시,태양광,0
2024-01-02,24,대전시,태양광,0
2024-01-02,1,부산시,태양광,0
2024-01-02,2,부산시,태양광,0
2024-01-02,3,부산시,태양광,0
2024-01-02,4,부산시,태양광,0
2024-01-02,5,부산시,태양광,0
2024-01-02,6,부산시,태양광,0
2024-01-02,7,부산시,태양광,0
2024-01-02,8,부산시,태양광,0.060712
2024-01-02,9,부산시,태양광,4.414201
2024-01-02,10,부산시,태양광,27.237442
2024-01-02,11,부산시,태양광,44.979505
2024-01-02,12,부산시,태양광,53.828922
2024-01-02,13,부산시,태양광,57.355879
2024-01-02,14,부산시,태양광,51.914161
2024-01-02,15,부산시,태양광,45.122509
2024-01-02,16,부산시,태양광,27.880084
2024-01-02,17,부산시,태양광,9.881867
2024-01-02,18,부산시,태양광,2.74038
2024-01-02,19,부산시,태양광,3.122601
2024-01-02,20,부산시,태양광,2.682176
2024-01-02,21,부산시,태양광,1.6981
2024-01-02,22,부산시,태양광,0.10344
2024-01-02,23,부산시,태양광,0.011
2024-01-02,24,부산시,태양광,0
2024-01-02,1,서울시,태양광,0
2024-01-02,2,서울시,태양광,0
2024-01-02,3,서울시,태양광,0
2024-01-02,4,서울시,태양광,0
2024-01-02,5,서울시,태양광,0
2024-01-02,6,서울시,태양광,0
2024-01-02,7,서울시,태양광,0
2024-01-02,8,서울시,태양광,0.000003
2024-01-02,9,서울시,태양광,0.254113
2024-01-02,10,서울시,태양광,1.157089
2024-01-02,11,서울시,태양광,1.858132
2024-01-02,12,서울시,태양광,2.180871
2024-01-02,13,서울시,태양광,2.15821
2024-01-02,14,서울시,태양광,2.432989
2024-01-02,15,서울시,태양광,2.121923
2024-01-02,16,서울시,태양광,1.603294
2024-01-02,17,서울시,태양광,0.556585
2024-01-02,18,서울시,태양광,0.014282
2024-01-02,19,서울시,태양광,0.060313
2024-01-02,20,서울시,태양광,0.06268
2024-01-02,21,서울시,태양광,0
2024-01-02,22,서울시,태양광,0
2024-01-02,23,서울시,태양광,0
2024-01-02,24,서울시,태양광,0
2024-01-02,1,세종시,태양광,0
2024-01-02,2,세종시,태양광,0
2024-01-02,3,세종시,태양광,0
2024-01-02,4,세종시,태양광,0
2024-01-02,5,세종시,태양광,0
2024-01-02,6,세종시,태양광,0
2024-01-02,7,세종시,태양광,0
2024-01-02,8,세종시,태양광,0
2024-01-02,9,세종시,태양광,0.036112
2024-01-02,10,세종시,태양광,0.553171
2024-01-02,11,세종시,태양광,1.95714
2024-01-02,12,세종시,태양광,4.856401
2024-01-02,13,세종시,태양광,3.828203
2024-01-02,14,세종시,태양광,3.566731
2024-01-02,15,세종시,태양광,3.256914
2024-01-02,16,세종시,태양광,1.672286
2024-01-02,17,세종시,태양광,2.067115
2024-01-02,18,세종시,태양광,0.06428
2024-01-02,19,세종시,태양광,0
2024-01-02,20,세종시,태양광,0
2024-01-02,21,세종시,태양광,0
2024-01-02,22,세종시,태양광,0
2024-01-02,23,세종시,태양광,0
2024-01-02,24,세종시,태양광,0
2024-01-02,1,울산시,태양광,0
2024-01-02,2,울산시,태양광,0
