기준연월,시간대,행정동코드,행정동명,이동건수
2022-04,21,2614059000,부민동,117721
2022-04,23,2614059000,부민동,143621
2022-04,04,2614059000,부민동,137596
2022-04,03,2614059000,부민동,140540
2022-04,12,2614059000,부민동,140056
2022-04,19,2614059000,부민동,117766
2022-04,16,2614059000,부민동,130414
2022-04,20,2614059000,부민동,118317
2022-04,08,2614059000,부민동,126353
2022-04,12,2614061500,아미동,164816
2022-04,06,2614061500,아미동,164580
2022-04,14,2614061500,아미동,167417
2022-04,09,2614061500,아미동,177214
2022-04,11,2614061500,아미동,168922
2022-04,22,2614061500,아미동,157784
2022-04,16,2614061500,아미동,154475
2022-04,18,2614061500,아미동,143944
2022-04,21,2614061500,아미동,155068
2022-04,03,2614061500,아미동,163063
2022-04,02,2614061500,아미동,162628
2022-04,23,2614061500,아미동,160672
2022-04,10,2614061500,아미동,176012
2022-04,20,2614061500,아미동,149539
2022-04,05,2614061500,아미동,162444
2022-04,15,2614061500,아미동,160332
2022-04,08,2614061500,아미동,173078
2022-04,19,2614061500,아미동,146335
2022-04,17,2614061500,아미동,145271
2022-04,13,2614061500,아미동,167040
2022-04,04,2614061500,아미동,162477
2022-04,07,2614061500,아미동,164675
2022-04,00,2614061500,아미동,163956
2022-04,01,2614061500,아미동,163308
2022-04,03,2614063000,초장동,158991
2022-04,05,2614063000,초장동,157070
2022-04,01,2614063000,초장동,154961
2022-04,19,2614063000,초장동,136061
2022-04,06,2614063000,초장동,154355
2022-04,08,2614063000,초장동,144744
2022-04,21,2614063000,초장동,147143
2022-04,09,2614063000,초장동,141455
2022-04,02,2614063000,초장동,157874
2022-04,10,2614063000,초장동,138081
2022-04,15,2614063000,초장동,128806
2022-04,14,2614063000,초장동,129998
2022-04,23,2614063000,초장동,154401
2022-04,07,2614063000,초장동,149537
2022-04,11,2614063000,초장동,133982
2022-04,13,2614063000,초장동,129390
2022-04,12,2614063000,초장동,131215
2022-04,18,2614063000,초장동,130965
2022-04,00,2614063000,초장동,155188
2022-04,04,2614063000,초장동,156977
2022-04,20,2614063000,초장동,141879
2022-04,17,2614063000,초장동,129028
2022-04,22,2614063000,초장동,152020
2022-04,16,2614063000,초장동,127432
2022-04,12,2614064000,충무동,180934
2022-04,03,2614064000,충무동,162257
2022-04,01,2614064000,충무동,161766
2022-04,04,2614064000,충무동,168601
2022-04,22,2614064000,충무동,157704
2022-04,16,2614064000,충무동,178226
2022-04,02,2614064000,충무동,161680
2022-04,18,2614064000,충무동,164149
2022-04,09,2614064000,충무동,187216
2022-04,17,2614064000,충무동,174613
2022-04,06,2614064000,충무동,165374
2022-04,23,2614064000,충무동,156069
2022-04,14,2614064000,충무동,184624
2022-04,07,2614064000,충무동,164783
2022-04,08,2614064000,충무동,179406
2022-04,00,2614064000,충무동,157112
2022-04,13,2614064000,충무동,184412
2022-04,20,2614064000,충무동,160306
2022-04,05,2614064000,충무동,167017
2022-04,19,2614064000,충무동,161871
2022-04,15,2614064000,충무동,182644
2022-04,21,2614064000,충무동,158693
2022-04,10,2614064000,충무동,187063
2022-04,11,2614064000,충무동,184138
2022-04,15,2614065000,남부민1동,73174
2022-04,12,2614065000,남부민1동,75908
2022-04,13,2614065000,남부민1동,74301
2022-04,08,2614065000,남부민1동,89683
2022-04,11,2614065000,남부민1동,78276
2022-04,20,2614065000,남부민1동,72008
2022-04,00,2614065000,남부민1동,96964
2022-04,04,2614065000,남부민1동,96266
2022-04,03,2614065000,남부민1동,95414
2022-04,18,2614065000,남부민1동,70553
2022-04,22,2614065000,남부민1동,75934
2022-04,07,2614065000,남부민1동,94016
2022-04,23,2614065000,남부민1동,99629
2022-04,05,2614065000,남부민1동,97169
2022-04,14,2614065000,남부민1동,73088
2022-04,06,2614065000,남부민1동,96443
2022-04,01,2614065000,남부민1동,95791
2022-04,02,2614065000,남부민1동,95450
2022-04,21,2614065000,남부민1동,74424
2022-04,19,2614065000,남부민1동,70595
2022-04,09,2614065000,남부민1동,85236
2022-04,17,2614065000,남부민1동,71106
2022-04,10,2614065000,남부민1동,81476
2022-04,16,2614065000,남부민1동,71993
2022-04,22,2614066000,남부민2동,185546
2022-04,08,2614066000,남부민2동,199868
2022-04,09,2614066000,남부민2동,193177
2022-04,15,2614066000,남부민2동,173430
2022-04,20,2614066000,남부민2동,175654
2022-04,06,2614066000,남부민2동,195296
2022-04,21,2614066000,남부민2동,180473
2022-04,23,2614066000,남부민2동,188130
2022-04,04,2614066000,남부민2동,195185
2022-04,03,2614066000,남부민2동,199033
2022-04,13,2614066000,남부민2동,175307
2022-04,11,2614066000,남부민2동,181000
2022-04,02,2614066000,남부민2동,198601
2022-04,17,2614066000,남부민2동,166585
2022-04,12,2614066000,남부민2동,178120
2022-04,19,2614066000,남부민2동,171432
2022-04,14,2614066000,남부민2동,173591
2022-04,16,2614066000,남부민2동,168733
2022-04,01,2614066000,남부민2동,198581
2022-04,07,2614066000,남부민2동,199930
2022-04,00,2614066000,남부민2동,197673
2022-04,10,2614066000,남부민2동,188980
2022-04,05,2614066000,남부민2동,195577
2022-04,18,2614066000,남부민2동,167438
2022-04,07,2614068000,암남동,525279
2022-04,08,2614068000,암남동,542395
2022-04,06,2614068000,암남동,493227
2022-04,14,2614068000,암남동,553759
2022-04,04,2614068000,암남동,461811
2022-04,05,2614068000,암남동,470427
2022-04,19,2614068000,암남동,445259
2022-04,02,2614068000,암남동,457639
2022-04,15,2614068000,암남동,536997
2022-04,17,2614068000,암남동,462061
2022-04,13,2614068000,암남동,553424
2022-04,00,2614068000,암남동,459523
2022-04,03,2614068000,암남동,458227
2022-04,20,2614068000,암남동,449591
